UMAP1,UMAP2,program_type,cluster2,cluster3,cluster4
6.603147,4.147314,1,1,1,1
8.477913,6.5177355,1,1,1,0
6.793969,4.2768126,1,1,1,2
4.5693626,5.6070004,1,0,0,3
5.8308215,3.138425,0,1,1,0
7.637037,3.0217292,0,1,1,1
7.953808,6.53384,1,0,0,2
9.121844,6.8383636,1,0,0,2
7.26855,2.8923795,0,1,1,1
9.483637,7.272145,1,0,0,3
7.4111524,2.318328,1,1,1,1
7.6487384,6.108346,1,0,2,2
6.413592,3.2767105,1,1,1,1
6.017658,5.8122296,1,0,0,2
7.9909234,3.5767903,1,1,1,0
9.19031,5.9451404,1,1,1,1
5.7158165,6.430946,1,0,0,2
5.8443837,5.028387,1,0,2,2
8.668203,6.2684016,1,1,1,1
6.5967345,5.1033015,1,1,1,0
7.179802,2.7093608,0,1,1,1
7.9149914,7.943041,1,0,0,3
8.439651,6.457998,1,0,2,2
6.3230367,3.7211335,1,1,1,1
9.27858,6.0774207,1,1,1,1
7.1620026,2.3529212,1,1,1,0
6.2016416,4.322205,1,1,2,2
7.505548,2.9398837,1,1,1,1
5.698988,3.405357,1,1,1,1
6.339667,2.400318,1,1,1,1
5.5508976,4.8400264,1,1,1,0
8.332366,7.1350126,1,1,1,0
7.522699,4.128494,1,0,0,2
5.657917,4.9355593,1,1,1,0
8.037109,4.096399,1,1,1,0
5.0801406,6.8286805,1,0,0,3
4.7845335,3.8202465,1,1,2,1
7.6663227,4.4105062,1,1,1,0
8.691129,6.778321,1,1,1,0
5.5571485,2.36692,1,1,1,1
5.568094,4.019852,0,1,2,1
9.115738,5.908554,1,1,1,1
4.9934177,8.391514,1,0,0,3
4.9199033,4.62972,1,0,0,3
6.2807374,4.1233983,1,1,2,1
8.664781,8.283538,1,0,0,3
9.157615,6.772615,1,0,2,2
3.4095774,4.4401827,1,0,0,3
4.855021,8.146967,1,0,0,3
7.1019816,2.2899287,1,1,1,1
6.4033294,2.317725,1,1,1,0
6.2030826,2.3117597,1,1,1,1
8.951778,5.9364448,1,1,1,0
6.077245,4.39714,1,1,2,2
8.711487,5.6462793,1,1,1,0
5.284981,7.649485,1,0,0,3
2.945364,5.936665,1,0,0,3
