category,variable,variable_label,upskilling_mean,upskilling_std,reskilling_mean,reskilling_std,cohens_d,t_statistic,p_value,significance
targeting,p_criteria_qualifications,Criteria - Pre-existing skills/qualifications,0.8379629850387573,0.369340717792511,0.8640000224113464,0.34347620606422424,0.07320050895214081,-0.7838204071016325,0.4335645138292009,
other,p_challenge_other,Challenge - Other,0.009259259328246117,0.09600100666284561,0.004000000189989805,0.06324555724859238,-0.06565366685390472,0.6866344677085073,0.4927521209881077,
other,p_cha_scale,p_cha_scale,0.6111111044883728,0.4886304438114166,0.5799999833106995,0.49454858899116516,-0.06325774639844894,0.6815534408636293,0.4958675500983539,
other,p_challenge_scaling,Challenge - Scaling-up the program,0.17592592537403107,0.38164159655570984,0.20000000298023224,0.4008024036884308,0.06140712648630142,-0.6634023354956087,0.5074055038881723,
targeting,p_target_topmiddle,p_target_topmiddle,0.1805555522441864,0.38554298877716064,0.1599999964237213,0.3673414885997772,-0.05468576028943062,0.5866021482114919,0.5577670171137474,
funding,p_fund_other,Other,3.810185194015503,9.521876335144043,3.2880001068115234,9.748085021972656,-0.05414651334285736,0.583874956984868,0.5595924707402893,
other,p_cha_support,p_cha_support,0.35185185074806213,0.4786573350429535,0.37599998712539673,0.48535168170928955,0.050072718411684036,-0.5395678844550553,0.5897584575561253,
targeting,p_criteria_jobtitle,Criteria - Job Title,0.7731481194496155,0.4197688102722168,0.7519999742507935,0.4327181279659271,-0.04955434054136276,0.5346260493424331,0.5931680092073937,
program_structure,p_part_exp,p_part_exp,53.60185241699219,21.472942352294922,52.81999969482422,25.456546783447266,-0.03299776464700699,0.3596176987612776,0.7192967469369022,
other,p_size_coarse3,p_participated_coarse==     3.0000,0.13425925925925927,0.3417225957878801,0.144,0.3517940251689592,0.02805806761251024,-0.30268004568404,0.7622712241765739,
other,p_year_start_clone2,p_year_start_clone2,2020.75,1.1782920360565186,2020.780029296875,1.176919937133789,0.025501376017928123,-0.2744925404928815,0.783830970550778,
other,p_resp_top,p_resp_top,0.1666666716337204,0.3735436797142029,0.17599999904632568,0.381584107875824,0.024699199944734573,-0.2662949619737556,0.7901322037462666,
other,p_challenge_determreturn,Challenge - Determining financial returns of programs relative to other policies,0.25462964177131653,0.43666478991508484,0.24400000274181366,0.4303542971611023,-0.02453240193426609,0.26380424146139686,0.7920509249591867,
other,p_challenge_supportoutsideHR,Challenge - Getting the support of other corporate managers outside HR,0.14351852238178253,0.3514152467250824,0.13600000739097595,0.34347620606422424,-0.021656116470694542,0.2327335525765725,0.8160738799494175,
other,p_resp_hr,p_resp_hr,0.5138888955116272,0.5009680390357971,0.5239999890327454,0.5004255175590515,0.020194843411445618,-0.2173752152184005,0.8280135813743128,
other,p_challenge_progcompl,Challenge - Ensuring program completion,0.28703704476356506,0.45342984795570374,0.2800000011920929,0.4498995840549469,-0.015584582462906837,0.1676682631675285,0.86691905806356,
other,p_ongoing,p_ongoing,0.7453703880310059,0.43666478991508484,0.7400000095367432,0.43951416015625,-0.012255650013685226,0.13199174201558667,0.8950491616379956,
targeting,p_criteria_tenure,Criteria - Tenure,0.7407407164573669,0.4392460882663727,0.7360000014305115,0.4416835308074951,-0.010760759934782982,0.1158837610790559,0.9077957990699281,
other,p_participated_2023_50000 - 99999,p_participated_2023_50000 - 99999,0.0,0.0,0.012,0.10910368672886965,0.15014163353799467,-0.10998711739064186,0.930260342290036,
other,p_participated_10000 - 49999,p_participated_10000 - 49999,0.0,0.0,0.012,0.10910368672886965,0.15014163353799467,-0.10998711739064186,0.930260342290036,
other,p_cont_investment_Not at all likely,p_cont_investment_Not at all likely,0.009259259259259259,0.09600100487559059,0.0,0.0,-0.1416903345936921,0.09644960770211206,0.9387876140778133,
program_structure,p_eligibility,p_eligibility,51.28703689575195,20.12151527404785,51.428001403808594,22.621488571166992,0.006556712090969086,-0.07118557185549731,0.9432807619410815,
targeting,p_target_top,p_target_top,0.24537037312984467,0.4313061237335205,0.24799999594688416,0.4327181279659271,0.006086181849241257,-0.0655318853166686,0.9477793245349053,
other,p_year_end_2019,p_year_end_2019,0.004629629629629629,0.06804138174397717,0.0,0.0,-0.09995692440032747,0.06804138174397717,0.9567501724034456,
other,p_application_Other,p_application_Other,0.0,0.0,0.004,0.06324555320336758,0.08633548089310779,-0.06324555320336758,0.9597901863335195,
targeting,p_target_emp,p_target_emp,0.7870370149612427,0.4103526771068573,0.7879999876022339,0.40954476594924927,0.0023491757456213236,-0.025284648600723592,0.9798390288901958,
funding,p_challenge_funding,Challenge - Finding adequate resources to fund the program,0.09259258955717087,0.29053395986557007,0.09200000017881393,0.2896057367324829,-0.0020431566517800093,0.02198892099421865,0.9824664579408611,
other,p_adv_top,p_adv_top,0.30092594027519226,0.4597259759902954,0.30000001192092896,0.45917683839797974,-0.002015379024669528,0.02169315515872192,0.9827022530476557,
funding,p_adequatefund_Overfunded,p_adequatefund_Overfunded,0.06018518518518518,0.23838207159635602,0.064,0.24524391595563183,0.01575792965586876,-0.011154115046524034,,
funding,p_adequatefund_Adequate funding,p_adequatefund_Adequate funding,0.8703703703703703,0.3366757488477419,0.832,0.37461626953135707,-0.10731860510127433,0.07618090131642603,,
funding,p_adequatefund_Underfunded,p_adequatefund_Underfunded,0.06944444444444445,0.2547989023134814,0.104,0.3058729032322526,0.12195187215617301,-0.08680198776370682,,
funding,p_adequatefunddummy_Not adequately funded,p_adequatefunddummy_Not adequately funded,0.12962962962962962,0.3366757488477419,0.168,0.37461626953135707,0.10731860510127433,-0.07618090131642603,,
funding,p_adequatefunddummy_Adequately funded,p_adequatefunddummy_Adequately funded,0.8703703703703703,0.3366757488477419,0.832,0.37461626953135707,-0.10731860510127433,0.07618090131642603,,
program_structure,p_hourstrained_less 10 hours,p_hourstrained_less 10 hours,0.06481481481481481,0.24677070227324527,0.036,0.186663798027298,-0.133033080409526,0.09312601995439931,,
program_structure,p_hourstrained_10 - 49 hours,p_hourstrained_10 - 49 hours,0.3472222222222222,0.47719301995583885,0.308,0.4625926586874093,-0.08355564770512121,0.059015483071094506,,
program_structure,p_hourstrained_50 - 99 hours,p_hourstrained_50 - 99 hours,0.375,0.48524747941547286,0.316,0.46584551966587706,-0.12422773356479018,0.08771092246214895,,
program_structure,p_hourstrained_100 - 199 hours,p_hourstrained_100 - 199 hours,0.1527777777777778,0.3606088735595985,0.164,0.37101835328443733,0.03064240397360803,-0.02169002487983065,,
program_structure,p_hourstrained_200 - 499 hours,p_hourstrained_200 - 499 hours,0.037037037037037035,0.1892912571072064,0.14,0.34768309440717154,0.36072217982964333,-0.2600914910103803,,
program_structure,p_hourstrained_greater 500 hours,p_hourstrained_greater 500 hours,0.023148148148148147,0.15072320633129876,0.036,0.186663798027298,0.07517798904066084,-0.053567586502982205,,
program_structure,p_duration_less 1 month,p_duration_less 1 month,0.1111111111111111,0.31499969238326314,0.084,0.2779442606858303,-0.09168691740819697,0.06453603119639038,,
program_structure,p_duration_2 - 6 months,p_duration_2 - 6 months,0.6851851851851852,0.46552092647785737,0.596,0.49168181176047615,-0.185904232408346,0.13171694349670376,,
program_structure,p_duration_7 - 12 months,p_duration_7 - 12 months,0.1574074074074074,0.3650304106359649,0.24,0.4279398674118619,0.20647015131430468,-0.14683742934600372,,
program_structure,p_duration_ greater 12 months,p_duration_ greater 12 months,0.046296296296296294,0.21061413010567992,0.08,0.27183741892777985,0.1373556241376291,-0.09800989019336565,,
program_structure,p_comphours_Entirely compensated hours,p_comphours_Entirely compensated hours,0.6898148148148148,0.4636437715987255,0.636,0.4821138194863937,-0.11361844511395285,0.08045521667882564,,
program_structure,p_comphours_Partly compensated hours,p_comphours_Partly compensated hours,0.2777777777777778,0.44894363521148095,0.34,0.4746590405957492,0.1344121439905725,-0.0952372978156718,,
